Creation_Date,Name,entry_force,directive,Product_name,Product_code,MRL,ApplicationDate,Footnotes_MRL,ApplicationDate2,NewMRL,Footnotes_sub
06/10/2016 08:47,,,,"Pumpkins (Butternut squashes, Winter melons/winter gourds/white gourds, Winter squashes/red kuri squashes/marrows (late varieties),)",233020,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Watermelons,233030,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Others,233990,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"(d) sweet corn (Baby corn,)",234000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,(e) other fruiting vegetables,239000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Brassica vegetables (excluding brassica roots and brassica baby leaf crops),240000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,(a) flowering brassica,241000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Broccoli (Calabrese, Chinese broccoli/kai-lan, Choi sum/tsoi sam (3), Rapini/broccoletti/broccoli raab,)",241010,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Cauliflowers (Romanesco cauliflowers/Romanesco broccoli,)",241020,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Others,241990,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,(b) head brassica,242000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Brussels sprouts,242010,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Head cabbages (Pointed head cabbages, Red cabbages, Savoy cabbages, White cabbage,)",242020,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Others,242990,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,(c) leafy brassica,243000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Chinese cabbages/pe-tsai (Chinese flat cabbages/tatsoi/tai goo choi, Indian mustards/mustard greens, Komatsuna/mustard spinaches, Mizuna (4), Pak-choi/paksoi, Turnip greens/turnip tops (5),)",243010,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Kales (Borecoles/collards greens/curly kales, Cow cabbages/stem kales, Cow cabbages/Jersey kales, Kohlrabies leaves (6), Rape kales/Siberian kales, Portuguese kales/tronchuda kales/Portuguese cabbages,)",243020,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Others,243990,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,(d) kohlrabies,244000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Leaf vegetables, herbs and edible flowers",250000,,25/08/2014,,,,
06/10/2016 08:47,,,,(a) lettuces and salad plants,251000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Lamb's lettuces/corn salads (Italian corn salads,)",251010,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Lettuces (Crisp lettuces/iceberg lettuces/lollo bionda/lollo rosso, Cutting lettuces, Head lettuces/cabbage lettuces, Romaines/cos lettuces,)",251020,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Escaroles/broad-leaved endives (Curly endives/ fris?e endives, Dandelions, Puntarelle, Radicchio/red-leaved chicories, Sugar loaf chicories, Wild chicories/common chicories,)",251030,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Cresses and other sprouts and shoots (Alfalfa/lucerne sprouts, Chinese chives/oriental garlic/garlic chives sprouts, Broccoli sprouts, Daikon/Japanese radish sprouts, Ginger shoots, Mung bean sprouts, Peas shoots and sprouts, Roman rocket/rucola sprouts, Soyabeans sprouts, Sunflower shoots and sprouts, Wheatgrass/wheat shoots, Other species used for the production of sprouts or shoots,)",251040,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Land cresses,251050,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Roman rocket/rucola (Wall rocket,)",251060,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Red mustards,251070,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Baby leaf crops (including brassica species) (Chards/beet leaves, Escaroles/broad-leaved endives, Indian mustards/mustard greens, Lettuces, Spinaches, Other species harvested at baby leaf stage,)",251080,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,Others,251990,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,(b) spinaches and similar leaves,252000,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Spinaches (Amaranths/Chinese spinaches/pak-khom, Amaranths/Chinese spinaches/pak-khom, Amaranths/Chinese spinaches/pak-khom, Amaranths/Chinese spinaches/pak-khom, Amaranths/Chinese spinaches/pak-khom, Bitterblad/bitawiri, Bitterleaves, Black eyed peas/cowpeas leaves, Cassava leaves, Garland chrysanthemums/tong ho, New Zealand spinaches, Oraches, Sweet potato leaves, Tannias/arrowleaf elephant ears/tajer leaves,)",252010,0.01*,25/08/2014,,,,
06/10/2016 08:47,,,,"Purslanes (Agretti, Glassworts/samphires, Rock samphires, Sea asters, Sea lavenders, Winter purslanes/miner's lettuces,)",252020,0.01*,25/08/2014,,,,
