41|AP|FR|CA1|125|F|0.590|0.0|M||||M|O|550|99
41|AP|FR|CA1|157|B|0.370|0.0|M||||M|O|550|99
42|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
42|AP|FR|CA1|102|E|0.092|0.0|M|M|||H|O|553|12
42|AP|FR|CA1|125|F|0.950|0.0|M||||M|O|550|99
42|AP|FR|CA1|157|B|0.720|0.0|M||||M|O|550|99
42|AP|FR|CA1|537|E|0.025|0.0|M|||Q|M|O|553|12
43|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
43|AP|FR|CA1|125|F|0.70|0.0|M||||M|O|550|99
43|AP|FR|CA1|157|B|0.540|0.0|M||||M|O|550|99
44|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
44|AP|FR|CA1|055|A|0.880|0.0|M|M|||M|O|551|05
44|AP|FR|CA1|125|F|0.540|0.0|M||||M|O|550|99
44|AP|FR|CA1|157|B|1.0|0.0|M|D|||H|A|550|99
45|AP|FR|CA1|115|A|0.010|0.0|M|D||Q|M|O|551|05
45|AP|FR|CA1|125|F|0.460|0.0|M||||M|O|550|99
45|AP|FR|CA1|157|B|0.840|0.0|M|D|||H|A|550|99
46|AP|FR|CA1|125|F|0.720|0.0|M||||M|O|550|99
46|AP|FR|CA1|157|B|0.170|0.0|M|D|||H|O|550|99
47|AP|FR|CA1|083|I|0.015|0.0|M|||Q|M|O|550|99
47|AP|FR|CA1|125|F|3.80|0.0|M||||M|O|550|99
47|AP|FR|CA1|157|B|0.70|0.0|M|D|||H|A|550|99
48|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
48|AP|FR|CA1|125|F|0.450|0.0|M||||M|O|550|99
48|AP|FR|CA1|157|B|0.230|0.0|M|D|||H|A|550|99
49|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|O|552|02
49|AP|FR|CA1|107|C|0.220|0.0|M|M|||M|O|552|02
49|AP|FR|CA1|125|F|0.740|0.0|M||||M|O|550|99
49|AP|FR|CA1|157|B|0.390|0.0|M|D|||H|A|550|99
49|AP|FR|CA1|160|C|0.040|0.0|M|M|||M|O|552|02
49|AP|FR|CA1|171|C|0.005|0.0|M|D||Q|M|O|552|02
50|AP|FR|CA1|107|C|0.740|0.0|M|D|||M|O|552|02
50|AP|FR|CA1|125|F|0.970|0.0|M||||M|O|550|99
50|AP|FR|CA1|157|B|1.10|0.0|M||||M|O|550|99
51|AP|FR|CA1|042|C|0.140|0.0|M|D|||M|O|552|02
51|AP|FR|CA1|083|I|0.015|0.0|M|||Q|M|O|550|99
51|AP|FR|CA1|102|E|0.240|0.0|M|M|||H|O|553|12
51|AP|FR|CA1|125|F|2.60|0.0|M||||M|O|550|99
51|AP|FR|CA1|157|B|0.610|0.0|M||||M|O|550|99
52|AP|FR|CA1|125|F|0.067|0.0|M||||M|O|550|99
52|AP|FR|CA1|157|B|0.510|0.0|M||||M|O|550|99
52|AP|FR|CA1|165|C|0.070|0.0|M|M|||M|O|552|02
53|AP|FR|CA1|042|C|0.110|0.0|M|D|||M|R|552|02
53|AP|FR|CA1|083|I|0.160|0.0|M||||M|O|550|99
53|AP|FR|CA1|125|F|0.015|0.0|M|||Q|M|O|550|99
53|AP|FR|CA1|157|B|0.430|0.0|M|D|||H|A|550|99
54|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|R|552|02
54|AP|FR|CA1|125|F|1.60|0.0|M||||M|O|550|99
54|AP|FR|CA1|157|B|0.220|0.0|M|D|||H|A|550|99
54|AP|FR|CA1|623|I|0.240|0.0|M|M|||M|O|550|99
55|AP|FR|CA1|125|F|0.780|0.0|M||||M|O|550|99
55|AP|FR|CA1|157|B|1.0|0.0|M|D|||H|A|550|99
56|AP|FR|CA1|042|C|0.025|0.0|M|D||Q|M|R|552|02
56|AP|FR|CA1|102|E|0.067|0.0|M|M|||M|O|553|12
56|AP|FR|CA1|125|F|2.0|0.0|M||||M|O|550|99
56|AP|FR|CA1|157|B|0.50|0.0|M|D|||H|A|550|99
56|AP|FR|CA1|623|I|0.260|0.0|M|M|||M|O|550|99
57|AP|FR|CA1|057|C|0.005|0.0|M|D||Q|M|O|552|02
57|AP|FR|CA1|115|A|0.005|0.0|M|D||Q|M|O|551|05
57|AP|FR|CA1|125|F|1.0|0.0|M||||M|O|550|99
57|AP|FR|CA1|157|B|0.590|0.0|M|D|||H|A|550|99
57|AP|FR|CA1|623|I|0.60|0.0|M|M|||M|O|550|99
58|AP|FR|CA1|042|C|0.120|0.0|M|D|||M|O|552|02
58|AP|FR|CA1|083|I|0.10|0.0|M||||M|O|550|99
58|AP|FR|CA1|125|F|1.90|0.0|M||||M|O|550|99
58|AP|FR|CA1|157|B|1.0|0.0|M||||H|A|550|99
59|AP|FR|CA1|125|F|0.015|0.0|M|||Q|M|O|550|99
60|AP|FR|CA1|083|I|0.015|0.0|M|||Q|M|O|550|99
